"data","represa","nivel","vabs","vrel","vmax","afluente","descarregada","tunel"
"2015-03-09","B",751.39,8.54,17.6,48.42,3.07,0.12,8.45
"2015-03-09","J",751.73,35.34,47.7,74.09,29.50,0.05,5.06
"2015-03-09","T",743.09,29.07,34.1,85.20,21.20,0.10,-1
"2015-03-10","PN",754.01,28.88,8.8,329.37,6.55,3.07,-1
"2015-03-10","P",762.20,11.42,31.1,36.73,2.82,1.57,8.22
"2015-03-10","B",751.47,8.88,18.3,48.42,4.09,0.12,8.22
"2015-03-10","J",751.75,35.64,48.1,74.09,9.32,0.05,5.80
"2015-03-10","T",743.14,29.60,34.7,85.20,17.34,0.10,-1
"2015-03-11","PN",754.02,28.98,8.8,329.37,6.86,2.89,-1
"2015-03-11","P",762.25,11.56,31.5,36.73,3.14,1.57,8.22
"2015-03-11","B",751.53,9.14,18.9,48.42,3.13,0.12,8.22
"2015-03-11","J",751.79,36.09,48.7,74.09,11.07,0.05,5.80
"2015-03-11","T",743.18,30.03,35.2,85.20,16.57,0.10,-1
"2015-03-12","PN",754.02,28.98,8.8,329.37,4.43,2.89,-1
"2015-03-12","P",762.28,11.64,31.7,36.73,2.52,1.57,8.68
"2015-03-12","B",751.58,9.36,19.3,48.42,2.64,0.12,8.68
"2015-03-12","J",751.87,37.10,50.1,74.09,15.43,0.05,3.72
"2015-03-12","T",743.18,30.03,35.2,85.20,11.74,0.10,-1
"2015-03-13","PN",754.00,28.78,8.7,329.37,3.83,6.16,-1
"2015-03-13","P",762.29,11.67,31.8,36.73,1.89,1.57,8.70
"2015-03-13","B",751.64,9.62,19.9,48.42,3.17,0.12,8.70
"2015-03-13","J",751.93,37.86,51.1,74.09,11.96,0.05,3.11
"2015-03-13","T",743.18,30.03,35.2,85.20,9.80,0.10,-1
"2015-03-14","PN",754.00,28.78,8.7,329.37,10.20,6.16,-1
"2015-03-14","P",762.30,11.70,31.8,36.73,1.89,1.57,8.80
"2015-03-14","B",751.78,10.25,21.2,48.42,7.35,0.12,8.80
"2015-03-14","J",752.04,39.27,53.0,74.09,19.74,0.05,3.44
"2015-03-14","T",743.25,30.79,36.1,85.20,20.44,0.10,-1
"2015-03-15","PN",753.99,28.68,8.7,329.37,6.89,4.27,-1
"2015-03-15","P",762.30,11.70,31.8,36.73,1.57,1.57,8.91
"2015-03-15","B",751.88,10.70,22.1,48.42,5.37,0.12,8.91
"2015-03-15","J",752.14,40.56,54.7,74.09,18.40,0.05,3.44
"2015-03-15","T",743.32,31.56,37.0,85.20,20.88,0.10,-1
"2015-03-16","PN",753.98,28.58,8.7,329.37,3.87,4.27,-1
"2015-03-16","P",762.29,11.67,31.8,36.73,1.25,1.57,9.03
"2015-03-16","B",751.95,11.02,22.8,48.42,3.84,0.12,9.03
"2015-03-16","J",752.24,41.85,56.5,74.09,18.40,0.05,3.32
"2015-03-16","T",743.36,32.00,37.6,85.20,17.32,0.10,-1
"2015-03-17","PN",753.97,28.48,8.6,329.37,3.11,4.27,-1
"2015-03-17","P",762.30,11.70,31.8,36.73,1.89,1.57,8.45
"2015-03-17","B",752.00,11.25,23.2,48.42,2.80,0.12,8.45
"2015-03-17","J",752.30,42.64,57.5,74.09,12.39,0.05,3.26
"2015-03-17","T",743.39,32.33,37.9,85.20,15.96,0.10,-1
"2015-03-18","PN",753.96,28.38,8.6,329.37,3.96,4.27,-1
"2015-03-18","P",762.30,11.70,31.8,36.73,1.57,1.57,8.91
"2015-03-18","B",752.04,11.44,23.6,48.42,2.28,0.12,8.91
"2015-03-18","J",752.35,43.30,58.4,74.09,10.87,0.05,3.22
"2015-03-18","T",743.39,32.33,37.9,85.20,11.78,0.10,-1
"2015-03-19","PN",753.95,28.28,8.6,329.37,3.11,4.27,-1
"2015-03-19","P",762.30,11.70,31.8,36.73,1.57,1.57,8.80
"2015-03-19","B",752.07,11.58,23.9,48.42,1.75,0.12,8.80
"2015-03-19","J",752.41,44.09,59.5,74.09,12.43,0.05,3.22
"2015-03-19","T",743.36,32.00,37.6,85.20,7.87,0.10,-1
"2015-03-20","PN",753.95,28.28,8.6,329.37,6.16,6.16,-1
"2015-03-20","P",762.30,11.70,31.8,36.73,1.57,1.57,8.56
"2015-03-20","B",752.11,11.77,24.3,48.42,2.30,0.12,8.56
