"";"x"
"Mar 2005";58,4
"Abr 2005";37,2
"Mai 2005";42,8
"Jun 2005";28,2
"Jul 2005";24,1
"Ago 2005";17,7
"Set 2005";25,3
"Out 2005";25,7
"Nov 2005";33,1
"Dez 2005";41,5
"Jan 2006";52,4
"Fev 2006";85,6
"Mar 2006";66,7
"Abr 2006";42,8
"Mai 2006";27,5
"Jun 2006";23,6
"Jul 2006";22,1
"Ago 2006";17,1
"Set 2006";17,2
"Out 2006";20,1
"Nov 2006";23,1
"Dez 2006";42
"Jan 2007";77,1
"Fev 2007";40,3
"Mar 2007";34,7
"Abr 2007";30,9
"Mai 2007";22,5
"Jun 2007";23,7
"Jul 2007";34,4
"Ago 2007";19,1
"Set 2007";13,9
"Out 2007";17,1
"Nov 2007";46,7
"Dez 2007";36,9
"Jan 2008";47
"Fev 2008";58
"Mar 2008";66,5
"Abr 2008";59
"Mai 2008";42,2
"Jun 2008";35,7
"Jul 2008";23,2
"Ago 2008";26
"Set 2008";18,1
"Out 2008";24,6
"Nov 2008";31,6
"Dez 2008";40,5
"Jan 2009";67,4
"Fev 2009";100,3
"Mar 2009";66,7
"Abr 2009";43,4
"Mai 2009";31,7
"Jun 2009";28,7
"Jul 2009";33,6
"Ago 2009";25,3
"Set 2009";34,5
"Out 2009";41
"Nov 2009";42,6
"Dez 2009";109,1
"Jan 2010";132,8
"Fev 2010";78,2
"Mar 2010";72,7
"Abr 2010";56,3
"Mai 2010";33,7
"Jun 2010";26,8
"Jul 2010";28,8
"Ago 2010";18,2
"Set 2010";18,1
"Out 2010";18,7
"Nov 2010";26
"Dez 2010";46,5
"Jan 2011";144,9
"Fev 2011";52,4
"Mar 2011";80
"Abr 2011";58,1
"Mai 2011";35,3
"Jun 2011";31,3
"Jul 2011";24,1
"Ago 2011";19,5
"Set 2011";16,5
"Out 2011";23,9
"Nov 2011";33,7
"Dez 2011";32,1
"Jan 2012";64,1
"Fev 2012";37,3
"Mar 2012";28,1
"Abr 2012";27,8
"Mai 2012";32,3
"Jun 2012";48,7
"Jul 2012";31
"Ago 2012";16,9
"Set 2012";14
"Out 2012";20,4
"Nov 2012";18,1
"Dez 2012";32,3
"Jan 2013";48,5048387096774
"Fev 2013";54,2575
"Mar 2013";53,4964516129032
"Abr 2013";38,4066666666667
"Mai 2013";25,9112903225806
"Jun 2013";26,2053333333333
"Jul 2013";25,498064516129
"Ago 2013";16,82
"Set 2013";14,13
"Out 2013";25,0754838709677
"Nov 2013";22,058
"Dez 2013";22,488064516129
"Jan 2014";15,4374193548387
"Fev 2014";10,4660714285714
"Mar 2014";18,9148387096774
"Abr 2014";17,237
"Mai 2014";10,1367741935484
"Jun 2014";10,0276666666667
"Jul 2014";6,42935483870968
"Ago 2014";8,21645161290323
"Set 2014";8,956
"Out 2014";5,21032258064516
"Nov 2014";8,818
"Dez 2014";15,9767741935484
"Jan 2015";11,5135483870968
"Fev 2015";40,6742857142857
"Mar 2015";42,59
"Abr 2015";21,0786666666667
