"data","manancial","volume","pluviometria","pluviometriaacmes","mediames"
"2003-1-27","sistemaAltoTiete","42.2","7.1","188.6","245.4"
"2003-1-27","sistemaGuarapiranga","42.2","1.6","162.8","225.2"
"2003-1-27","sistemaCotia","43.6","6.3","238.3","224.8"
"2003-1-27","sistemaRioGrande","98.5","1.7","181.9","234.4"
"2003-1-27","sistemaRioClaro","69.3","8.9","194.8","287.8"
"2003-1-28","sistemaCantareira","54.4","16.9","382.9","253.0"
"2003-1-28","sistemaAltoTiete","42.4","10.7","199.3","245.4"
"2003-1-28","sistemaGuarapiranga","43.6","59.0","221.8","225.2"
"2003-1-28","sistemaCotia","44.8","29.9","268.2","224.8"
"2003-1-28","sistemaRioGrande","100.0","37.6","219.5","234.4"
"2003-1-28","sistemaRioClaro","69.5","5.2","200.0","287.8"
"2003-1-29","sistemaCantareira","56.0","18.2","401.1","253.0"
"2003-1-29","sistemaAltoTiete","42.9","14.1","213.3","245.4"
"2003-1-29","sistemaGuarapiranga","44.7","20.4","242.2","225.2"
"2003-1-29","sistemaCotia","46.9","7.7","275.9","224.8"
"2003-1-29","sistemaRioGrande","102.2","41.7","261.2","234.4"
"2003-1-29","sistemaRioClaro","70.2","17.1","217.1","287.8"
"2003-1-30","sistemaCantareira","57.5","4.3","405.3","253.0"
"2003-1-30","sistemaAltoTiete","43.1","3.6","216.9","245.4"
"2003-1-30","sistemaGuarapiranga","45.9","0.0","242.2","225.2"
"2003-1-30","sistemaCotia","47.9","0.4","276.3","224.8"
"2003-1-30","sistemaRioGrande","102.0","0.3","261.5","234.4"
"2003-1-30","sistemaRioClaro","70.8","1.8","218.9","287.8"
"2003-1-31","sistemaCantareira","59.1","5.1","410.4","253.0"
"2003-1-31","sistemaAltoTiete","43.3","6.6","223.5","245.4"
"2003-1-31","sistemaGuarapiranga","47.4","26.0","268.2","225.2"
"2003-1-31","sistemaCotia","49.4","19.7","296.0","224.8"
"2003-1-31","sistemaRioGrande","101.2","15.3","276.8","234.4"
"2003-1-31","sistemaRioClaro","71.1","5.7","224.6","287.8"
"2003-2-1","sistemaCantareira","60.4","10.8","10.8","214.2"
"2003-2-1","sistemaAltoTiete","43.8","1.6","1.6","210.0"
"2003-2-1","sistemaGuarapiranga","48.2","0.0","0.0","196.8"
"2003-2-1","sistemaCotia","50.5","0.4","0.4","192.0"
"2003-2-1","sistemaRioGrande","100.0","3.0","3.0","210.0"
"2003-2-1","sistemaRioClaro","71.3","3.1","3.1","252.3"
"2003-2-2","sistemaCantareira","61.1","0.3","11.0","214.2"
"2003-2-2","sistemaAltoTiete","43.8","0.1","1.7","210.0"
"2003-2-2","sistemaGuarapiranga","48.7","2.2","2.2","196.8"
"2003-2-2","sistemaCotia","51.6","19.4","19.8","192.0"
"2003-2-2","sistemaRioGrande","99.0","0.0","3.0","210.0"
"2003-2-2","sistemaRioClaro","71.4","0.0","3.1","252.3"
"2003-2-3","sistemaCantareira","61.5","0.0","11.0","214.2"
"2003-2-3","sistemaAltoTiete","43.9","0.1","1.7","210.0"
"2003-2-3","sistemaGuarapiranga","49.0","0.0","2.2","196.8"
"2003-2-3","sistemaCotia","51.9","0.0","19.8","192.0"
"2003-2-3","sistemaRioGrande","98.1","0.0","3.0","210.0"
"2003-2-3","sistemaRioClaro","71.4","0.0","3.1","252.3"
"2003-2-4","sistemaCantareira","61.9","0.0","11.0","214.2"
"2003-2-4","sistemaAltoTiete","44.0","5.7","7.4","210.0"
"2003-2-4","sistemaGuarapiranga","48.7","0.0","2.2","196.8"
"2003-2-4","sistemaCotia","52.2","4.3","24.1","192.0"
"2003-2-4","sistemaRioGrande","98.0","0.0","3.0","210.0"
"2003-2-4","sistemaRioClaro","71.5","5.5","8.6","252.3"
"2003-2-5","sistemaCantareira","62.1","0.5","11.5","214.2"
"2003-2-5","sistemaAltoTiete","44.2","0.0","7.4","210.0"
"2003-2-5","sistemaGuarapiranga","48.9","0.0","2.2","196.8"
"2003-2-5","sistemaCotia","52.3","0.0","24.1","192.0"
"2003-2-5","sistemaRioGrande","95.7","0.0","3.0","210.0"
"2003-2-5","sistemaRioClaro","71.6","0.4","9.0","252.3"
"2003-2-6","sistemaCantareira","62.6","0.3","11.9","214.2"
"2003-2-6","sistemaAltoTiete","44.7","32.6","40.0","210.0"
"2003-2-6","sistemaGuarapiranga","48.7","1.4","3.6","196.8"
"2003-2-6","sistemaCotia","52.7","5.1","29.2","192.0"
"2003-2-6","sistemaRioGrande","94.8","0.0","3.0","210.0"
"2003-2-6","sistemaRioClaro","71.6","0.1","9.1","252.3"
"2003-2-7","sistemaCantareira","62.9","6.5","18.4","214.2"
"2003-2-7","sistemaAltoTiete","44.9","6.8","46.8","210.0"
"2003-2-7","sistemaGuarapiranga","48.6","0.0","3.6","196.8"
"2003-2-7","sistemaCotia","53.0","10.2","39.4","192.0"
"2003-2-7","sistemaRioGrande","94.0","0.0","3.0","210.0"
"2003-2-7","sistemaRioClaro","71.5","3.6","12.7","252.3"
"2003-2-8","sistemaCantareira","63.0","0.3","18.7","214.2"
"2003-2-8","sistemaAltoTiete","45.1","11.5","58.3","210.0"
"2003-2-8","sistemaGuarapiranga","48.6","6.2","9.8","196.8"
"2003-2-8","sistemaCotia","53.1","4.1","43.5","192.0"
"2003-2-8","sistemaRioGrande","93.0","2.2","5.2","210.0"
"2003-2-8","sistemaRioClaro","71.4","4.3","17.0","252.3"
"2003-2-9","sistemaCantareira","63.2","0.0","18.7","214.2"
"2003-2-9","sistemaAltoTiete","45.2","0.0","58.3","210.0"
"2003-2-9","sistemaGuarapiranga","49.0","26.6","36.4","196.8"
"2003-2-9","sistemaCotia","53.1","0.9","44.4","192.0"
"2003-2-9","sistemaRioGrande","92.1","0.0","5.2","210.0"
"2003-2-9","sistemaRioClaro","71.3","0.1","17.1","252.3"
"2003-2-10","sistemaCantareira","63.3","0.0","18.7","214.2"
"2003-2-10","sistemaAltoTiete","45.2","0.1","58.4","210.0"
"2003-2-10","sistemaGuarapiranga","48.9","0.0","36.4","196.8"
"2003-2-10","sistemaCotia","53.0","0.0","44.4","192.0"
"2003-2-10","sistemaRioGrande","90.9","0.0","5.2","210.0"
"2003-2-10","sistemaRioClaro","71.1","0.3","17.4","252.3"
"2003-2-11","sistemaCantareira","63.4","0.3","19.0","214.2"
"2003-2-11","sistemaAltoTiete","45.2","1.0","59.3","210.0"
"2003-2-11","sistemaGuarapiranga","48.7","2.4","38.8","196.8"
"2003-2-11","sistemaCotia","52.8","0.0","44.4","192.0"
"2003-2-11","sistemaRioGrande","89.8","0.0","5.2","210.0"
"2003-2-11","sistemaRioClaro","70.8","1.3","18.7","252.3"
"2003-2-12","sistemaCantareira","63.4","0.0","19.0","214.2"
"2003-2-12","sistemaAltoTiete","44.9","2.6","61.9","210.0"
"2003-2-12","sistemaGuarapiranga","48.5","0.0","38.8","196.8"
"2003-2-12","sistemaCotia","52.5","0.0","44.4","192.0"
"2003-2-12","sistemaRioGrande","89.0","7.6","12.8","210.0"
"2003-2-12","sistemaRioClaro","70.6","0.0","18.7","252.3"
"2003-2-13","sistemaCantareira","63.2","1.4","20.3","214.2"
"2003-2-13","sistemaAltoTiete","44.9","9.5","71.4","210.0"
"2003-2-13","sistemaGuarapiranga","48.3","1.0","39.8","196.8"
"2003-2-13","sistemaCotia","52.5","8.7","53.1","192.0"
"2003-2-13","sistemaRioGrande","89.5","12.7","25.5","210.0"
"2003-2-13","sistemaRioClaro","70.4","0.0","18.7","252.3"
"2003-2-14","sistemaCantareira","63.6","13.7","34.0","214.2"
"2003-2-14","sistemaAltoTiete","45.1","19.7","91.1","210.0"
"2003-2-14","sistemaGuarapiranga","48.5","16.8","56.6","196.8"
"2003-2-14","sistemaCotia","52.8","19.2","72.3","192.0"
"2003-2-14","sistemaRioGrande","92.2","19.2","44.7","210.0"
"2003-2-14","sistemaRioClaro","70.0","0.0","18.7","252.3"
"2003-2-15","sistemaCantareira","63.6","2.6","36.6","214.2"
"2003-2-15","sistemaAltoTiete","45.8","3.0","94.1","210.0"
"2003-2-15","sistemaGuarapiranga","48.6","3.2","59.8","196.8"
"2003-2-15","sistemaCotia","53.3","6.9","79.2","192.0"
"2003-2-15","sistemaRioGrande","93.4","1.5","46.2","210.0"
"2003-2-15","sistemaRioClaro","69.8","7.5","26.2","252.3"
"2003-2-16","sistemaCantareira","63.8","8.3","45.0","214.2"
"2003-2-16","sistemaAltoTiete","46.2","9.0","103.1","210.0"
"2003-2-16","sistemaGuarapiranga","48.6","0.0","59.8","196.8"
"2003-2-16","sistemaCotia","53.4","5.7","84.9","192.0"
"2003-2-16","sistemaRioGrande","93.4","0.4","46.6","210.0"
"2003-2-16","sistemaRioClaro","70.2","6.1","32.3","252.3"
"2003-2-17","sistemaCantareira","63.8","3.4","48.3","214.2"
"2003-2-17","sistemaAltoTiete","46.3","1.8","104.9","210.0"
"2003-2-17","sistemaGuarapiranga","48.6","2.0","61.8","196.8"
"2003-2-17","sistemaCotia","53.8","20.2","105.1","192.0"
"2003-2-17","sistemaRioGrande","92.4","0.3","46.9","210.0"
"2003-2-17","sistemaRioClaro","69.4","3.2","35.5","252.3"
"2003-2-18","sistemaCantareira","64.7","40.6","89.0","214.2"
"2003-2-18","sistemaAltoTiete","46.9","21.1","126.1","210.0"
"2003-2-18","sistemaGuarapiranga","49.5","31.0","92.8","196.8"
"2003-2-18","sistemaCotia","54.9","9.8","114.9","192.0"
"2003-2-18","sistemaRioGrande","92.5","20.8","67.7","210.0"
"2003-2-18","sistemaRioClaro","69.6","20.6","56.1","252.3"
"2003-2-19","sistemaCantareira","65.0","5.0","94.0","214.2"
"2003-2-19","sistemaAltoTiete","47.2","1.9","127.9","210.0"
"2003-2-19","sistemaGuarapiranga","50.3","1.0","93.8","196.8"
"2003-2-19","sistemaCotia","55.2","4.8","119.7","192.0"
"2003-2-19","sistemaRioGrande","92.7","26.5","94.2","210.0"
"2003-2-19","sistemaRioClaro","69.7","1.5","57.6","252.3"
"2003-2-20","sistemaCantareira","65.2","4.3","98.3","214.2"
"2003-2-20","sistemaAltoTiete","47.3","0.0","127.9","210.0"
"2003-2-20","sistemaGuarapiranga","51.4","15.1","108.9","196.8"
"2003-2-20","sistemaCotia","55.4","0.0","119.7","192.0"
"2003-2-20","sistemaRioGrande","92.4","5.8","100.0","210.0"
"2003-2-20","sistemaRioClaro","69.5","0.6","58.2","252.3"
"2003-2-21","sistemaCantareira","65.5","0.9","99.2","214.2"
"2003-2-21","sistemaAltoTiete","47.3","1.9","129.8","210.0"
"2003-2-21","sistemaGuarapiranga","52.3","13.0","121.9","196.8"
"2003-2-21","sistemaCotia","55.2","0.2","119.9","192.0"
"2003-2-21","sistemaRioGrande","92.5","2.5","102.5","210.0"
"2003-2-21","sistemaRioClaro","68.9","0.0","58.2","252.3"
"2003-2-22","sistemaCantareira","65.6","1.5","100.7","214.2"
"2003-2-22","sistemaAltoTiete","47.3","0.0","129.8","210.0"
"2003-2-22","sistemaGuarapiranga","52.7","0.0","121.9","196.8"
"2003-2-22","sistemaCotia","55.2","1.8","121.7","192.0"
"2003-2-22","sistemaRioGrande","91.9","0.0","102.5","210.0"
"2003-2-22","sistemaRioClaro","68.9","0.0","58.2","252.3"
"2003-2-23","sistemaCantareira","65.7","0.3","101.0","214.2"
"2003-2-23","sistemaAltoTiete","47.3","0.0","129.8","210.0"
"2003-2-23","sistemaGuarapiranga","52.9","0.0","121.9","196.8"
"2003-2-23","sistemaCotia","55.0","0.0","121.7","192.0"
"2003-2-23","sistemaRioGrande","91.3","0.0","102.5","210.0"
"2003-2-23","sistemaRioClaro","68.6","0.0","58.2","252.3"
"2003-2-24","sistemaCantareira","65.7","0.0","101.0","214.2"
"2003-2-24","sistemaAltoTiete","47.2","0.1","129.9","210.0"
"2003-2-24","sistemaGuarapiranga","53.1","0.0","121.9","196.8"
"2003-2-24","sistemaCotia","54.9","0.0","121.7","192.0"
"2003-2-24","sistemaRioGrande","90.5","0.0","102.5","210.0"
"2003-2-24","sistemaRioClaro","68.2","0.0","58.2","252.3"
"2003-2-25","sistemaCantareira","65.7","0.0","101.0","214.2"
"2003-2-25","sistemaAltoTiete","47.3","0.1","130.0","210.0"
"2003-2-25","sistemaGuarapiranga","53.1","0.0","121.9","196.8"
"2003-2-25","sistemaCotia","54.7","0.0","121.7","192.0"
"2003-2-25","sistemaRioGrande","89.5","0.0","102.5","210.0"
"2003-2-25","sistemaRioClaro","67.6","0.0","58.2","252.3"
"2003-2-26","sistemaCantareira","65.6","0.0","101.0","214.2"
"2003-2-26","sistemaAltoTiete","47.0","0.0","130.0","210.0"
"2003-2-26","sistemaGuarapiranga","53.1","0.0","121.9","196.8"
"2003-2-26","sistemaCotia","54.4","0.0","121.7","192.0"
"2003-2-26","sistemaRioGrande","88.7","0.0","102.5","210.0"
"2003-2-26","sistemaRioClaro","67.2","0.1","58.3","252.3"
"2003-2-27","sistemaCantareira","65.6","0.0","101.0","214.2"
"2003-2-27","sistemaAltoTiete","46.8","0.0","130.0","210.0"
"2003-2-27","sistemaGuarapiranga","52.9","0.0","121.9","196.8"
"2003-2-27","sistemaCotia","53.9","0.0","121.7","192.0"
"2003-2-27","sistemaRioGrande","88.4","0.0","102.5","210.0"
"2003-2-27","sistemaRioClaro","66.9","0.0","58.3","252.3"
"2003-2-28","sistemaCantareira","65.5","0.0","101.0","214.2"
"2003-2-28","sistemaAltoTiete","46.6","0.0","130.0","210.0"
"2003-2-28","sistemaGuarapiranga","52.5","0.0","121.9","196.8"
"2003-2-28","sistemaCotia","53.6","0.0","121.7","192.0"
"2003-2-28","sistemaRioGrande","88.2","0.0","102.5","210.0"
