"data","sistema","vabs","vrel","vmax","afluente","descarregada","MLT","aflu_MLT","aflu_max","vazao_anterior","vazao_mediames","retirada"
"2015-02-02","AltoTiete",63.23,11.0,573.81,15.89,9.17,27.56,57.7,70.93,9.41,9.41,18.70
"2015-02-02","Guarapiranga",82.05,47.9,171.19,14.84,0.00,21.17,70.1,49.00,14.84,14.84,14.84
"2015-02-02","Cotia",4.63,28.0,16.50,0.80,0.06,2.27,35.4,3.86,0.75,0.75,0.80
"2015-02-02","RioGrande",84.12,75.0,112.18,4.95,0.00,9.65,51.3,23.88,4.95,4.95,4.95
"2015-02-02","RioClaro",3.99,29.2,13.67,7.25,4.83,3.76,192.8,2.99,3.90,3.90,3.90
"2015-02-03","Cantareira",49.66,5.1,982.07,26.92,1.45,72.90,36.9,163.27,13.27,13.65,14.72
"2015-02-03","AltoTiete",63.42,11.1,573.81,18.17,9.40,27.56,65.9,70.93,10.63,10.02,11.93
"2015-02-03","Guarapiranga",82.05,47.9,171.19,15.08,0.00,21.17,71.2,49.00,15.08,14.96,15.08
"2015-02-03","Cotia",4.63,28.0,16.50,0.77,0.06,2.27,33.9,3.86,0.71,0.73,0.77
"2015-02-03","RioGrande",83.95,74.8,112.18,3.10,0.00,9.65,32.1,23.88,4.95,4.95,4.95
"2015-02-03","RioClaro",4.03,29.5,13.67,3.87,4.95,3.76,103.0,2.99,3.93,3.91,3.93
"2015-02-04","Cantareira",50.58,5.2,982.07,25.88,0.81,72.90,35.5,163.27,14.46,13.92,15.27
"2015-02-04","AltoTiete",63.12,11.0,573.81,12.45,9.40,27.56,45.2,70.93,11.20,10.41,11.80
"2015-02-04","Guarapiranga",82.05,47.9,171.19,15.14,0.00,21.17,71.5,49.00,15.14,15.02,15.14
"2015-02-04","Cotia",4.68,28.4,16.50,1.41,0.06,2.27,62.2,3.86,0.71,0.72,0.77
"2015-02-04","RioGrande",83.95,74.8,112.18,5.02,0.00,9.65,52.0,23.88,5.02,4.97,5.02
"2015-02-04","RioClaro",4.08,29.8,13.67,3.02,4.75,3.76,80.3,2.99,3.88,3.90,3.88
"2015-02-05","Cantareira",51.05,5.2,982.07,20.50,0.77,72.90,28.1,163.27,14.39,14.04,15.16
"2015-02-05","AltoTiete",63.13,11.0,573.81,13.10,10.76,27.56,61.4,70.93,11.29,10.63,12.67
"2015-02-05","Guarapiranga",82.27,48.1,171.19,17.93,0.00,21.17,84.7,49.00,15.33,15.10,15.33
"2015-02-05","Cotia",4.79,29.1,16.50,2.38,0.21,2.27,104.6,3.86,0.87,0.74,1.08
"2015-02-05","RioGrande",84.28,75.1,112.18,8.60,0.00,9.65,89.2,23.88,4.89,4.95,4.89
